                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.49964,                0.31466,                0.81881,                0.99456,                0.99304,                0.99454,                0.94773,                0.42938,                0.28558,                0.74511,             0.00054463,             0.00054463,             0.00054463
                     60,                0.49998,                0.31492,                0.81438,                0.99448,                0.99295,                0.99289,                0.93015,                0.48638,                0.29359,                0.75017,             0.00053225,             0.00053225,             0.00053225
                     61,                0.50243,                0.31103,                0.81267,                 0.9942,                0.99542,                0.99245,                0.93887,                0.43509,                0.27493,                 0.7472,             0.00051988,             0.00051988,             0.00051988
                     62,                0.49303,                0.30742,                0.81256,                0.99611,                0.99271,                0.99337,                0.93813,                0.44334,                 0.2735,                0.74738,              0.0005075,              0.0005075,              0.0005075
                     63,                 0.4979,                0.30861,                0.81154,                0.99379,                0.99219,                0.99207,                0.93655,                0.45122,                0.27514,                0.74806,             0.00049513,             0.00049513,             0.00049513
                     64,                0.48218,                0.30741,                0.81226,                0.99552,                0.99516,                 0.9932,                0.94019,                0.43507,                 0.2737,                0.74634,             0.00048275,             0.00048275,             0.00048275
                     65,                0.48668,                0.30547,                 0.8135,                 0.9945,                0.99516,                0.99231,                0.93886,                0.43336,                0.27378,                 0.7433,             0.00047038,             0.00047038,             0.00047038
                     66,                0.48177,                0.30082,                0.80834,                0.99542,                0.99514,                0.99416,                0.93837,                0.45242,                 0.2648,                0.74631,               0.000458,               0.000458,               0.000458
                     67,                0.48927,                0.30584,                0.81632,                0.99291,                0.99718,                0.99213,                0.93362,                0.44026,                0.26819,                0.74443,             0.00044563,             0.00044563,             0.00044563
                     68,                0.48809,                0.29974,                0.81355,                0.99425,                0.99665,                0.99455,                0.93897,                0.44554,                0.26464,                0.74834,             0.00043325,             0.00043325,             0.00043325
                     69,                0.47605,                0.29908,                0.80955,                0.99477,                0.99318,                0.99332,                0.94596,                0.41288,                0.25634,                0.74415,             0.00042087,             0.00042087,             0.00042087
                     70,                0.47439,                 0.2944,                0.81172,                0.99496,                 0.9929,                0.99387,                0.93664,                0.47801,                0.27612,                0.74691,              0.0004085,              0.0004085,              0.0004085
                     71,                0.47082,                0.29215,                  0.814,                0.99555,                0.99249,                0.99244,                0.94523,                0.41964,                 0.2586,                0.74328,             0.00039613,             0.00039613,             0.00039613
                     72,                0.46557,                0.29115,                0.80738,                0.99378,                0.99766,                0.99309,                0.94333,                 0.4059,                0.25717,                 0.7428,             0.00038375,             0.00038375,             0.00038375
                     73,                0.46117,                0.28861,                0.81083,                0.99369,                0.99451,                0.99323,                0.94151,                0.41779,                0.26206,                0.74336,             0.00037138,             0.00037138,             0.00037138
                     74,                0.45825,                0.28581,                0.81206,                0.99355,                0.99656,                0.99428,                0.94201,                0.41554,                0.25595,                0.74266,               0.000359,               0.000359,               0.000359
                     75,                0.46171,                0.29087,                0.80674,                 0.9935,                0.99665,                0.99321,                 0.9449,                0.42226,                0.25392,                0.74184,             0.00034663,             0.00034663,             0.00034663
                     76,                0.45955,                0.28921,                0.80912,                0.99233,                0.99678,                0.99346,                0.94307,                0.42316,                0.25427,                0.74332,             0.00033425,             0.00033425,             0.00033425
                     77,                0.45547,                0.28488,                0.80954,                0.99525,                0.99205,                0.99325,                0.94488,                0.41934,                0.25404,                0.74159,             0.00032188,             0.00032188,             0.00032188
                     78,                0.44955,                 0.2815,                0.80821,                0.99389,                0.99721,                0.99388,                0.94842,                0.39211,                0.24288,                0.73895,              0.0003095,              0.0003095,              0.0003095
                     79,                0.44971,                0.27841,                0.80703,                0.99578,                0.99377,                0.99295,                0.94511,                 0.4088,                 0.2549,                0.74173,             0.00029713,             0.00029713,             0.00029713
                     80,                0.44339,                0.27525,                0.80776,                0.99082,                0.99665,                0.99452,                0.94398,                  0.405,                0.25247,                0.73994,             0.00028475,             0.00028475,             0.00028475
                     81,                0.44174,                0.27508,                0.80875,                0.99452,                0.99201,                0.99233,                0.94765,                0.40617,                0.25091,                0.74126,             0.00027237,             0.00027237,             0.00027237
                     82,                0.43909,                 0.2699,                 0.8053,                0.99224,                0.99369,                0.99268,                0.94844,                0.40653,                0.25385,                0.73984,                0.00026,                0.00026,                0.00026
                     83,                0.43943,                0.27227,                0.80497,                0.99457,                0.99219,                0.99297,                  0.945,                0.39553,                0.24489,                0.73968,             0.00024762,             0.00024762,             0.00024762
                     84,                0.43417,                0.26998,                0.80502,                0.99339,                  0.994,                0.99319,                 0.9437,                0.41204,                0.25422,                0.74081,             0.00023525,             0.00023525,             0.00023525
                     85,                0.42719,                0.26682,                0.80409,                0.99323,                0.99219,                0.99347,                0.94688,                0.39806,                0.24747,                 0.7403,             0.00022288,             0.00022288,             0.00022288
                     86,                0.43111,                0.27285,                0.80702,                 0.9949,                 0.9927,                0.99321,                0.94798,                0.39284,                0.24869,                0.73897,              0.0002105,              0.0002105,              0.0002105
                     87,                0.41711,                0.26421,                0.80206,                0.99295,                0.99395,                0.99283,                0.94856,                0.38916,                0.24059,                0.73797,             0.00019813,             0.00019813,             0.00019813
                     88,                 0.4241,                0.26768,                0.80465,                0.99575,                0.99346,                0.99256,                0.95155,                0.39105,                0.24268,                0.73815,             0.00018575,             0.00018575,             0.00018575
                     89,                0.42603,                0.26591,                0.80408,                0.99475,                0.99368,                0.99357,                0.95216,                0.37995,                0.23954,                0.73778,             0.00017338,             0.00017338,             0.00017338
                     90,                0.41924,                 0.2618,                0.80152,                0.99402,                0.99399,                0.99351,                0.95154,                0.38278,                0.23356,                0.73805,               0.000161,               0.000161,               0.000161
                     91,                 0.4398,                0.27048,                0.80651,                0.99486,                0.99219,                0.99374,                0.94512,                0.40495,                0.24642,                0.73933,             0.00014862,             0.00014862,             0.00014862
                     92,                0.42581,                0.26768,                0.81119,                0.99347,                0.99219,                0.99339,                0.95207,                0.38997,                0.24796,                0.73884,             0.00013625,             0.00013625,             0.00013625
                     93,                0.41831,                 0.2633,                0.80894,                0.99549,                0.99292,                0.99262,                0.94949,                0.38297,                0.24109,                0.73809,             0.00012387,             0.00012387,             0.00012387
                     94,                0.40918,                0.26202,                0.80133,                 0.9955,                0.99402,                 0.9929,                0.95249,                0.38853,                0.24173,                0.73871,              0.0001115,              0.0001115,              0.0001115
                     95,                0.40715,                0.25919,                0.80578,                0.99516,                 0.9935,                0.99273,                0.95617,                0.37881,                 0.2405,                0.73826,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.40298,                0.25089,                0.81095,                  0.994,                0.99368,                0.99222,                0.95352,                 0.3781,                0.24003,                0.73791,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.39936,                0.24985,                0.80834,                0.99643,                0.99386,                0.99204,                0.95446,                0.36549,                0.23929,                0.73712,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.39107,                 0.2485,                0.80028,                0.99558,                0.99368,                0.99198,                0.95239,                0.37247,                0.23923,                0.73722,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.38417,                0.24484,                0.80469,                0.99602,                 0.9942,                0.99258,                 0.9535,                0.37465,                0.23832,                0.73681,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.38675,                0.24361,                 0.8068,                0.99587,                0.99396,                  0.992,                0.95105,                0.37451,                0.23494,                0.73689,              3.725e-05,              3.725e-05,              3.725e-05
